email_content,is_purchase_order
"Subject: Monthly Newsletter

Dear Subscriber,

Here's our latest update on LLC activities.

Key Highlights:
- New product launch
- Upcoming events
- Industry insights

Stay tuned!

Regards,
Marketing Team",0
"Subject: Job Application Acknowledgement

Dear Kevin Gallegos,

We have received your job application for the Colour technologist position.

We will review your application and get back to you soon.

Thank you,
Craig-Cobb HR Department",0
"Subject: Job Application Acknowledgement

Dear Rodney Allen,

We have received your job application for the Futures trader position.

We will review your application and get back to you soon.

Thank you,
Allen-Brown HR Department",0
"Subject: Product Order Confirmation

Order Details:
PO Number: PO-92454
Customer: Sanchez, Rocha and Boyd

Item List:
1. deal - Quantity: 50
2. our - Quantity: 1

Total Order Value: $4768.42
Payment Terms: Net 30
Delivery Instructions: Less black single I quite.

Regards,
and Sons Purchasing Department",1
"Subject: Monthly Newsletter

Dear Subscriber,

Here's our latest update on Ltd activities.

Key Highlights:
- New product launch
- Upcoming events
- Industry insights

Stay tuned!

Regards,
Marketing Team",0
"Subject: Job Application Acknowledgement

Dear Jeremy Lawson,

We have received your job application for the Transport planner position.

We will review your application and get back to you soon.

Thank you,
Love and Sons HR Department",0
"Subject: Purchase Order #4234

Dear Hamilton Group,

This is a purchase order for the following items:

Item: specific
Quantity: 75
Unit Price: $484.11
Total Amount: $1432.73

Purchase Order Number: PO-99252
Customer: Garza-Diaz
Contact: Mitchell Day
Email: melissaflynn@example.net

Delivery Date: 2024-12-06

Best regards,
Hart, Jones and Cook",1
"Subject: Purchase Order #6185

Dear Yu-Freeman,

This is a purchase order for the following items:

Item: pass
Quantity: 99
Unit Price: $396.23
Total Amount: $198.52

Purchase Order Number: PO-56554
Customer: Thompson, Garcia and Klein
Contact: Michael Nguyen
Email: pearsongary@example.org

Delivery Date: 2024-12-16

Best regards,
Johnson PLC",1
"Subject: Product Order Confirmation

Order Details:
PO Number: PO-62524
Customer: Chapman-Hanna

Item List:
1. either - Quantity: 43
2. measure - Quantity: 7

Total Order Value: $9107.76
Payment Terms: Net 30
Delivery Instructions: Stop those ahead such forward of tax.

Regards,
and Sons Purchasing Department",1
"Subject: Monthly Newsletter

Dear Subscriber,

Here's our latest update on Ltd activities.

Key Highlights:
- New product launch
- Upcoming events
- Industry insights

Stay tuned!

Regards,
Marketing Team",0
"Subject: Job Application Acknowledgement

Dear Holly Terry,

We have received your job application for the Land/geomatics surveyor position.

We will review your application and get back to you soon.

Thank you,
Duran, Kim and Herman HR Department",0
"Subject: Monthly Newsletter

Dear Subscriber,

Here's our latest update on PLC activities.

Key Highlights:
- New product launch
- Upcoming events
- Industry insights

Stay tuned!

Regards,
Marketing Team",0
"Subject: Purchase Order #6345

Dear Henderson-Cooper,

This is a purchase order for the following items:

Item: newspaper
Quantity: 80
Unit Price: $349.81
Total Amount: $3026.4

Purchase Order Number: PO-74369
Customer: Jenkins LLC
Contact: Candice Rangel
Email: robertward@example.com

Delivery Date: 2024-12-11

Best regards,
Jones Inc",1
"Subject: Job Application Acknowledgement

Dear James Thomas,

We have received your job application for the Psychiatrist position.

We will review your application and get back to you soon.

Thank you,
Jennings, Brock and Sims HR Department",0
"Subject: Meeting Invitation

Hi Howard,

I hope this email finds you well. I'd like to schedule a meeting to discuss our upcoming project.

Proposed Date: 2024-12-23
Proposed Time: 08:18:50

Looking forward to your response.

Best regards,
Eric Tucker",0
"Subject: Job Application Acknowledgement

Dear Deborah Juarez,

We have received your job application for the Games developer position.

We will review your application and get back to you soon.

Thank you,
Smith Ltd HR Department",0
"Subject: Meeting Invitation

Hi Joseph,

I hope this email finds you well. I'd like to schedule a meeting to discuss our upcoming project.

Proposed Date: 2024-12-05
Proposed Time: 00:31:49

Looking forward to your response.

Best regards,
Kyle Romero",0
"Subject: Meeting Invitation

Hi Anna,

I hope this email finds you well. I'd like to schedule a meeting to discuss our upcoming project.

Proposed Date: 2024-12-05
Proposed Time: 03:46:46

Looking forward to your response.

Best regards,
Bridget Brooks",0
"Subject: Meeting Invitation

Hi Julie,

I hope this email finds you well. I'd like to schedule a meeting to discuss our upcoming project.

Proposed Date: 2024-12-16
Proposed Time: 16:30:56

Looking forward to your response.

Best regards,
Karen Joseph",0
"Subject: Monthly Newsletter

Dear Subscriber,

Here's our latest update on Ltd activities.

Key Highlights:
- New product launch
- Upcoming events
- Industry insights

Stay tuned!

Regards,
Marketing Team",0
"Subject: Job Application Acknowledgement

Dear Matthew Lee,

We have received your job application for the Media planner position.

We will review your application and get back to you soon.

Thank you,
Jones-Robertson HR Department",0
"Subject: Monthly Newsletter

Dear Subscriber,

Here's our latest update on PLC activities.

Key Highlights:
- New product launch
- Upcoming events
- Industry insights

Stay tuned!

Regards,
Marketing Team",0
"Subject: Meeting Invitation

Hi Sean,

I hope this email finds you well. I'd like to schedule a meeting to discuss our upcoming project.

Proposed Date: 2024-12-22
Proposed Time: 03:16:45

Looking forward to your response.

Best regards,
Erin Pace",0
